Does file have duplicates? Unknown
Sort.cpp:86:SortIterator consumed 60000000 rows. Beginning final merge step.
Filter.cpp:60:FilterIterator checking sortedness and parity
Filter.cpp:73:printStuff
Input was sorted, and parity was 20
Does file have duplicates? No
Iterator.cpp:22:run entire plan produced 60000000 rows.
Total bytes read:              34026002193
Total bytes written:           46085141109
Total estimated (I/O) latency: 681698.7 ms
Total actual run time:         8743.36 sec.


Filter.cpp:65:~FilterIterator produced 60000000 of 60000000 rows.
Filter.cpp:65:~FilterIterator produced 60000000 of 60000000 rows.
Scan.cpp:49:~ScanIterator produced 60000000 of 60000000 rows
Sort.cpp:97:~SortIterator produced 60000000 of 60000000 rows
